site;src;index;date;temp;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/07/01;11.722;;;;;Mean (Port Nolloth) ;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/08/01;11.534;;;;Jan ;14;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/09/01;10.879;;;;Feb;14;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/10/01;11.786;;;;Mar;#DIV/0!;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/11/01;12.308;;;;Apr;9;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1973/12/01;12.34;;;;May;13;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/01/01;11.538;;;;Jun;#DIV/0!;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/02/01;12.105;;;;Jul;6;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/03/01;11.971;;;;Aug;#DIV/0!;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/04/01;12.462;;;;Sep;6;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/05/01;12.444;;;;Oct;0;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/06/01;12.735;;;;Nov;5,5;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/07/01;11.455;;;;Dec;0;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/08/01;12.704;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/09/01;11.02;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/10/01;11.056;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/11/01;11.98;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1974/12/01;11.365;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/01/01;11.019;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/02/01;13.667;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/03/01;11.673;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/04/01;12.519;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/05/01;12.611;;43;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/06/01;11.558;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/07/01;0;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/08/01;10.596;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/09/01;10.462;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/10/01;10.741;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/11/01;10.76;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1975/12/01;12.089;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/01/01;13.446;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/02/01;13.104;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/03/01;0;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/04/01;0;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/05/01;12.088;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/06/01;12.567;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/07/01;12.167;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/08/01;10.806;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/09/01;10.7;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/10/01;11.597;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/11/01;12.417;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1976/12/01;12.823;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/01/01;12.968;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/02/01;14.38;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/03/01;13.387;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/04/01;13;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/05/01;12.31;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/06/01;12.25;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/07/01;11.887;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/08/01;11.71;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/09/01;11.867;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/10/01;11.817;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/11/01;11.95;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1977/12/01;12.742;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/01/01;12.823;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/02/01;12.857;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/03/01;12.677;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/04/01;12.933;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/05/01;12.387;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/06/01;11.533;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/07/01;11.69;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/08/01;12.29;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/09/01;11.917;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/10/01;11.548;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/11/01;12.517;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1978/12/01;12.968;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/01/01;13.194;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/02/01;13.589;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/03/01;12.935;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/04/01;12.067;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/05/01;12.177;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/06/01;12.2;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/07/01;11.468;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/08/01;11.468;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/09/01;11.217;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/10/01;11.758;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/11/01;12.383;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1979/12/01;13.113;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/01/01;13.774;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/02/01;12.828;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/03/01;13.145;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/04/01;12.367;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/05/01;11.742;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/06/01;11.5;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/07/01;11.129;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/08/01;12.194;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/09/01;12.25;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/10/01;11.726;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/11/01;12.717;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1980/12/01;12.871;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/01/01;13.079;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/02/01;14;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/03/01;12.855;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/04/01;11.846;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/05/01;12.172;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/06/01;11.383;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/07/01;11.306;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/08/01;11.694;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/09/01;12;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/10/01;12.081;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/11/01;12.154;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1981/12/01;12.292;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/01/01;12.167;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/02/01;12.826;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/03/01;12.5;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/04/01;11.875;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/05/01;12.24;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/06/01;11.24;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/07/01;11.222;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/08/01;10.48;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/09/01;11.08;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/10/01;11.75;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/11/01;12.333;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1982/12/01;12.208;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/01/01;11.96;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/02/01;11.208;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/03/01;11.593;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/04/01;12.692;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/05/01;12.042;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/06/01;11.625;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/07/01;11.333;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/08/01;11.154;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/09/01;11.778;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/10/01;11.538;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/11/01;12.692;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1983/12/01;12.435;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/01/01;14.04;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/02/01;13.92;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/03/01;13.259;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/04/01;14;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/05/01;13;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/06/01;12.042;;;;;;;
Port Nolloth;SAWS;Port Nolloth/ SAWS;1984/07/01;11.308;;;;;;;
